B,何者不是電漿電視(PDP)的特色,反應速度快動態影像幾乎無殘影,非自體發光,無壞點問題,高耗電量
A,何者不是LED液晶電視的特色,超耗電壽命短,高動態對比,無輻射環保無汞,適合輕薄設計
C,何者是OLED面板的特色,可視角度小清晰度高,非自體發光耗電高,自體發光高黑揚表現,反應速度慢會有殘影現象
B.C,複選以下何者是傳統直下式面板的特色,成本低,較耗電,獨立區域調整明暗度,適合平價大螢幕需求的用戶
A,何者是側光式面板的特色,畫面亮度均勻不佳,省電,適合高階影音需求的用戶,螢幕厚不適合打造輕薄機身
D,何者是白光LED側光式面板的特色,色域廣,較耗電,亮度均勻,成本低
A,何者是RGB LED直下式面板特色,高色域,成本低,省電,以上皆是
B,以下LED TV背光模組比較何者正確,耗電量 平價直下>側光式>傳統直下,畫質 傳統直下>側光>平價直下,LED顆巷 側光式>傳統直下>平價值下,價格 傳統直下>平價直下>側光式
C,在背光源亮度全開時，同一畫面所測出來最亮及最暗比值又稱為,動態對比,反應時間,靜態對比,色彩飽和度
A,以下對比度說明何者正確,原生對比與用料.規格.技術相關,高原生對比螢幕不具有高動態對比,低對比螢幕觀看時畫面較清晰銳利,高動態對比螢幕一定具有高原生對比
C,何者是螢幕色彩飽和度的規格標示,Nits,PDP,NTSC,BFI
C,何者不是享受高畫質必要條件,FULL HD解析度電視,有FULL HD 放送系統(藍光播放機),播放機和電視間以AV端子線串聯,訊號解析必須是 1080P/1080i
B,何者是4K2K解析度,1920X1080,3840X2160,1280X720,3840X1080
C,以下何者是SDTV標準解析度, 1280X720,1366X768,720X480,540X720
A.C,複選以下電視訊號解析度說明何者正確, 1080P的P代表是循序掃描,交錯掃描畫面穩定不閃爍,循序掃描廣播傳輸頻寬較交錯多一倍,支援1080I代表該電視是FULL HD電視
D,以下訴述何者有誤,1080P 單張解析度支援 1920X1080,循序式掃描畫面穩定不會閃爍,隔行掃描畫面會有閃爍現象,1080P 單張解析度支援 1920X540
B,支援1080i 『i』代表什麻意思,動態倍頻,交錯式掃描,循序式掃描,插 
B,以下反應時間說明何者是有誤,反應速度CRT > PDP > LCD,數字愈大愈好代表反應速度快,反應時間單位是毫秒(ms),反應時間不夠快畫面易會有殘影現象
C,以下面板壞點說明何者正確,亮點:子像素三原色光點永不發光,暗點:僅1至2個原色光點正常,亮點:子像素三原色永恆發出某光源,色點:子像素三原色光點永不發光
A,以下檢查壞點說明何者正確,在畫面螢幕全藍時檢查亮點,在畫面螢幕全藍時檢查暗點,在畫面螢幕全綠時檢查亮點,因技術因素產生的壞點可使用軟體修復
D,透過動態240Hz倍頻影像技術可達到每秒幾張畫面顯示,120張,60張, 480張, 240張
B,何謂BFI,色彩飽和度,插黑技術,反應時間,靜態對比
C,AV端子線黃色接頭是負責什麼,聲音訊號,RF訊號,影像訊號,亮度訊號
B.D,複選何者線材可傳送FULL HD 高畫質影像及聲音,AV端子,HDMI端子,DVI端子,色差端子
B,哪一種線材可同時傳輸影像及聲音,S端子線,HDMI端子線,色差端子線,VGA線
A,何謂 S/PDIF,數位光纖端子,AV端子,數位同軸端子,色差端子
C,電視內建的USB多媒體播放支援播放種類何者為非,Photo,Music,Power point,Movie
C,以下數位機上盒說明何者正確,目前採用美規ATSC設計,DVB-T又稱手持式數位視訊廣播,目前採用歐規DVB設計,DVB-H又稱地面數位視訊廣播
A,數位化的優點何者為非,聲音品質FM品質,畫面清晰度極佳,無鬼影殘影現象,使用頻寬率高
D,MOD屬於以下何者數位化管道,地面廣播,CATV系統,衛星頻道,寬頻通訊網路
C,使用者需向業者買斷或租用衛星設備並支付月租費是何者數位化管道,寬頻通訊網路,CATV系統,衛星頻道,地面廣播
A,舊電視在家想免費收看無線數位電視需安裝什麼盒子,STB,MOD,BOX,VCD
A,以下MOD說明何者有誤,只有光世代寬頻客戶才可申請MOD,第一機費用(平台/頻道/隨選視訊/應用服務),第2-4機特定包月影片及應用服務須分開計費,內有提供頻道/租片/歡唱/金融服務/..
D,要收看MOD高畫質節目頻道需具備什麼條件,申辦光世代網路,MOD高畫質節目(頻道/隨選影片),高畫質電視+HDMI線,以上皆是
C,MOD豪華餐的每月月租費用,$289/月,$329/月,$359/月,$389/月
A,MOD多螢服務以下說明何者有誤,同一部片最多可用三部裝置看過,MOD機上盒最多可配對五台裝置,支援ios5及Android4.0以上系統,同一部片同一時間僅能使用一台手機/平板觀賞
A,MOD平臺服務費用及可免費收視台數何者正確,89元/月可免費收視 18台,199元/月可免費收視 20台,89元/月可免費收視25台,199元/月可免費收視25台
B,以下MOD豪華餐說明何者有誤,世界熱門賽事直播,約130個頻道含超過 50個HD頻道,MOD高畫質節目需搭配光世代服務,以上皆不正確
C,MOD中文又稱為何種名稱,雲端媒體互動服務,寬頻網路隨選服務,多媒體隨選服務,固網媒體互動服務
C,以下PLC說明何者有誤,又稱作電源線網路橋接器,新申裝MOD享有免PLC月租費,兩台PLC可安裝在不同的電表迴路下使用,最好直接插在牆壁插座上
D,以下SMART TV功能說明何者正確,多媒體串流分享,網路影音服務,社群網站功能,以上皆正確
D,何者是SONY ,VIERA Remote2,Smart View,ALL Share,TV SideView
B,何者是Panasonic聯網電視專屬的手機APP遙控程式,TV SideView,VIERA Remote2,Smart Sshare,Smart View
D,何者是三星 聯網電視專屬的手機APP遙控程式,TV SideView,VIERA Remote2,LG TV Remote,Smart View
C,以下DLNA串流分享何者是有誤,音樂,影片,郵件,照片
A.D,複選以下何者是DLNA串流分享的專屬的手機App程式,iMedia Share,Smart Share,ALL Share,Skifta
C,想使用SMART TV上的 Skype 網路視訊功能何者說明正確,各品牌視訊鏡頭套件可互相共用,可買電腦用網路視訊鏡頭來使用,須購買原廠專屬的Skype 視訊鏡頭套件,視訊鏡頭串接在TV上的AV輸入端子
D,以下多媒體裝置串流說明何者有誤,DMS又稱數位媒體伺服器,須具備DLNA聯盟認證的多媒體裝置,DMP又稱數位媒體播放器,無需在同一區域網內就可輕鬆連結
D,三星的智慧中心又稱為什麼,SMART VIERA,SMART HOME,ALL Share,SMART HUB
C,以下何者不是三星的智慧中心內的功能,應用程式,社群,遊戲,相片/音樂/影片
D,DLNA功能串流分享下列哪一個無法分享,音樂,照片,影片,文件
B,DLNA主要是用哪一種方是分享串流,藍芽,區網,3G網路,NFC
D,下列哪一個不是DLNA串流APP,iMediaShare,Flipps,Skifta,toShare
A,三星SMART TV 哪個不是2013年主打功能,照相,社群,應用程式,多媒體影音
A,下列哪一個功能不是三星智慧互動2.0,觸控,臉部辨識,聲控,體感
B,三星allShare下列哪一個做不到,鏡像分享,遠端遙控,雲端傳輸,智慧串連
C,三星SMART T哪一系列是內建網卡但沒有3D功能,F5000,F5300,F5500,F6100
B,下列哪一個是LG專用的多媒體分享,allShare,LG Smart Share,Air play,iMediaShare
D,下列哪一個不是LG智慧遙控器的功能,智慧點選,智慧聲控,智慧手寫,智慧串連
B,LG SmartTV的WIDI技術不需要下列哪一個,Intel第二代Core CPU,Nvidia顯卡,Intel HD顯卡,Intel Centrino網卡
A,下列哪一個是三星smart TV首頁名稱,Smart HUB,Home DASHBOARD,SEN,MY Home Screen OR我的首頁
C,下列哪一個是SONY smart TV首頁名稱,Smart HUB,Home DASHBOARD,SEN,MY Home Screen OR我的首頁
B,下列哪一個是LG smart TV首頁名稱,Smart HUB,Home DASHBOARD,SEN,MY Home Screen OR我的首頁
D,下列哪一個是Pansonic smart TV首頁名稱,Smart HUB,Home DASHBOARD,SEN,MY Home Screen OR我的首頁
B,下列哪一個是LG mart TV智慧遙控功能,Samsung Remote,LG TV Remote ,TV SideView,TV remote 2
C,下列哪一個是SONY smart TV智慧遙控功能,Samsung Remote,LG TV Remote ,TV SideView,TV remote 2
D,下列哪一個是Pansonic smart TV智慧遙控功能,Samsung Remote,LG TV Remote ,TV SideView,TV remote 2
C,Pansonic smart TV錄影留言最常可以幾秒,10秒,20秒,30秒,1分鐘
A,Pansonic smart TV的遙控器叫什麼名稱,觸控遙控器,體感遙控器,智慧遙控器,聲控遙控器
D,Pansonic 的彈指傳輸不可以傳輸哪個東西,影片,照片,音樂,文件
B,Pansonic smart TV下列哪個系列沒支援藍芽無線,VT60,ET60,ST60,WT60
A, SONY TV哪一系列有支援4K,X9000A,W950,W900,W800
A,SONY TV是哪一個晶片,X-Reality Pro,CHROMAX Pro,Triple XD Engine ,Hyper Real Engine
B,SONY TV哪個系列是沒有內建網卡但有支援FullHD,W600A,W650A,W700A,W800A
C,下列哪一個是背動式3D的優點,Full HD影像,要充電,便宜,2D無損
B,高畫質電視的最佳觀賞距離是螢幕對角線幾倍,2倍,2.5倍,3倍,4倍
B,以下何者是國際牌影像處理晶片,黑金晶片,黑鑽晶片,VIERA晶片,CHROMAX Pro晶片
A,以下何者不是主動式3D的特色,眼鏡觀賞角度178度,FULL HD解析度,需要充電,單價高
C,電視週邊NetTV3下列何者型號有支援看A台錄B台功能,NetTV3雙功機,NetTV3 Mobile獨享機,NetTV3 Dual雙享機,NetTV3分享機
C,以下何者不是比特數位功能特色,支援USB/E-SATA外接式儲存裝置,區域影音分享功能,無支援無線傳輸功能,FULL HD高畫質解析度
D,TOTOLINK 專用設定APP軟體,Ging set,LINK Ging ,TOTOLINK  SET,TAMIO Ging
A,SONY 何系列有內附NFC遙控器,W950系列,W900系列,W800系列,W700系列
B,SONY 何系列(含)以上有支援3D功能,W900系列,W800系列,W700系列,W650系列
C,Pansonic smart TV下列哪個系列有支援內建視訊功能,ET60,ST60,WT60,E6
B,LG 何系列(含)以上有內建Wifi功能,LA6600,LN5700,LA6200,LN5400
C,TIME MachineⅡ為下列哪一品牌專屬功能,三星,SONY,LG,國際
C,下列哪一品牌電視有內建WiDi技術,三星,SONY,LG,國際
C,SMART SHARE為下列哪一品牌專屬用來連結影音裝置作多媒體分享,三星,SONY,LG,國際
A.C,複選下列三星品牌機種可透過智慧進化套件(Evolution Kit)來進行升級,ES8000,F6100,ES7500,ES5500
D,以下何者是三星ALL SHARE 功能特色,鏡像分享,雲端分享,智慧串聯,以上皆是